종목명,매출액증가율,외국인비율,PER,ROE,ROA,PBR
삼성전자,8.09,53.11,13.53,17.07,12.72,1.38
LG에너지솔루션,43.39,4.57,75.15,5.75,2.51,5.17
SK하이닉스,3.78,52.43,-11.59,3.56,2.24,1.56
삼성바이오로직스,91.41,10.23,63.1,11.42,6.5,5.6
POSCO홀딩스,11.03,27.08,31.31,6.11,3.75,0.65
현대차,21.19,32.87,5.1,9.36,3.26,0.52
LG화학,21.75,43.8,25.73,6.95,3.69,1.2
NAVER,20.57,46.74,45.15,3.29,1.99,1.34
삼성SDI,48.48,46.2,15.59,12.52,7.27,1.77
기아,23.9,38.29,4.22,14.57,7.7,0.71
포스코퓨처엠,65.96,6.71,195.6,4.87,2.85,9.59
셀트리온,20.63,19.58,41.49,13.35,9.38,5.2
현대모비스,24.47,38.26,7.11,6.8,4.65,0.52
KB금융,50.88,72.76,4.6,9.17,0.61,0.36
삼성물산,25.27,18.93,9.3,7.16,4.46,0.57
카카오,15.81,25.67,166.98,13.54,4.65,1.8
신한지주,23.5,59.82,4.06,9.7,0.72,0.34
LG전자,12.93,29.27,45.59,6.61,3.43,0.93
SK이노베이션,66.6,21.38,-16.25,8.49,3.25,0.63
삼성생명,14.97,16.99,6.48,5.73,0.52,0.3
LG,4.77,36.25,12.56,8.48,7.65,0.5
KT&G,11.92,42.32,13.95,11.0,8.4,1.14
하나금융지주,69.98,68.68,3.14,10.06,0.68,0.31
삼성화재,5.48,53.28,7.39,9.7,1.4,0.72
SK,38.42,22.5,-12.66,5.13,2.2,0.4
한국전력,17.45,14.01,-0.54,-46.91,-10.96,0.33
메리츠금융지주,97.5,16.4,5.03,30.32,1.88,1.21
카카오뱅크,50.79,15.3,33.7,4.68,0.7,1.85
SK텔레콤,3.32,41.2,10.1,7.97,3.05,0.93
삼성에스디에스,26.45,15.8,10.51,14.23,10.06,1.26
고려아연,12.46,18.57,16.32,9.38,7.24,1.08
삼성전기,-2.59,31.27,17.48,13.76,9.49,1.35
포스코인터내셔널,11.9,6.56,14.34,15.79,5.2,1.66
HD현대중공업,8.83,7.16,-93.67,-6.47,-2.25,1.91
우리금융지주,55.83,36.59,3.1,11.51,0.72,0.3
두산에너빌리티,40.31,12.82,-25.62,-11.7,-1.94,1.26
기업은행,57.42,14.09,3.12,9.85,0.67,0.29
하이브,41.42,16.38,140.12,1.87,1.0,2.98
KT,3.02,42.76,6.94,7.99,3.55,0.48
아모레퍼시픽,-14.97,26.08,63.07,2.81,2.17,2.04
크래프톤,-1.66,31.63,18.52,10.29,8.52,1.48
S-Oil,54.55,76.77,17.36,27.2,10.99,0.96
HMM,34.72,12.72,1.67,64.98,46.0,0.36
대한항공,56.33,16.04,5.76,21.95,6.21,0.83
